epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5551020503044128,0.5841898918151855,2.037640333175659,0.001,0.5513308048248291,0.5918367505073547,0.5476190447807312,0.6653515100479126,1.844228744506836,0.5271739363670349,0.9238095283508301
1,0.6204081773757935,0.6429633498191833,1.901290774345398,0.001,0.6204081773757935,0.6204081773757935,0.6000000238418579,0.7322449088096619,1.7786697149276733,0.5573770403862,0.9714285731315613
2,0.6244897842407227,0.663688063621521,1.8189494609832764,0.001,0.6205533742904663,0.640816330909729,0.6285714507102966,0.7679365277290344,1.712796926498413,0.5780346989631653,0.9523809552192688
3,0.6306122541427612,0.6777135133743286,1.7575362920761108,0.001,0.6264821887016296,0.6469388008117676,0.6619047522544861,0.7898865938186646,1.654470443725586,0.6024096608161926,0.9523809552192688
4,0.6704081892967224,0.7193961143493652,1.652065634727478,0.001,0.6707566380500793,0.6693877577781677,0.6619047522544861,0.8066666722297668,1.602220058441162,0.601190447807312,0.961904764175415
5,0.6448979377746582,0.7185860276222229,1.6054234504699707,0.001,0.6370656490325928,0.6734693646430969,0.6809523701667786,0.8126076459884644,1.5441458225250244,0.6172839403152466,0.9523809552192688
6,0.6938775777816772,0.7626259922981262,1.5227673053741455,0.001,0.686274528503418,0.7142857313156128,0.6761904954910278,0.8177777528762817,1.4901611804962158,0.6149068474769592,0.9428571462631226
7,0.6857143044471741,0.7406601905822754,1.5112556219100952,0.001,0.6763566136360168,0.7122448682785034,0.699999988079071,0.8212698698043823,1.4363375902175903,0.6381579041481018,0.9238095283508301
8,0.7408163547515869,0.7985652089118958,1.4016902446746826,0.001,0.7251908183097839,0.7755101919174194,0.7190476059913635,0.8241269588470459,1.3835338354110718,0.6554054021835327,0.9238095283508301
9,0.7193877696990967,0.7799188494682312,1.3872867822647095,0.001,0.7071291208267212,0.7489795684814453,0.7333333492279053,0.8221315145492554,1.3393785953521729,0.6689655184745789,0.9238095283508301
10,0.7367346882820129,0.7978737950325012,1.3381965160369873,0.001,0.7239382266998291,0.7653061151504517,0.7428571581840515,0.8238095641136169,1.300807237625122,0.6758620738983154,0.9333333373069763
11,0.7081632614135742,0.7965055704116821,1.293325662612915,0.001,0.6961538195610046,0.7387754917144775,0.738095223903656,0.8253968358039856,1.261720061302185,0.6736111044883728,0.9238095283508301
12,0.7469387650489807,0.8023073673248291,1.2626749277114868,0.001,0.7283018827438354,0.7877551317214966,0.7476190328598022,0.8300679922103882,1.2194904088974,0.6857143044471741,0.9142857193946838
13,0.7408163547515869,0.8099209070205688,1.2174850702285767,0.001,0.7277992367744446,0.7693877816200256,0.7285714149475098,0.8361451625823975,1.1802513599395752,0.6714285612106323,0.8952381014823914
14,0.7612245082855225,0.8261058330535889,1.1615816354751587,0.001,0.748062014579773,0.7877551317214966,0.7333333492279053,0.83501136302948,1.1509437561035156,0.673758864402771,0.9047619104385376
15,0.75,0.8357913494110107,1.127397060394287,0.001,0.7342256307601929,0.7836734652519226,0.723809540271759,0.8397732377052307,1.116672158241272,0.6690647602081299,0.8857142925262451
16,0.7571428418159485,0.8357725739479065,1.0893193483352661,0.001,0.7490118741989136,0.7734693884849548,0.738095223903656,0.8365533351898193,1.086338996887207,0.6865671873092651,0.8761904835700989
17,0.7704081535339355,0.8424739241600037,1.0669739246368408,0.001,0.7613412141799927,0.7877551317214966,0.7571428418159485,0.8380498886108398,1.0597840547561646,0.7014925479888916,0.8952381014823914
18,0.7653061151504517,0.8420595526695251,1.0407432317733765,0.001,0.7509652376174927,0.7938775420188904,0.7428571581840515,0.8453061580657959,1.0293089151382446,0.6888889074325562,0.8857142925262451
19,0.7744898200035095,0.8557330369949341,0.9909711480140686,0.001,0.7632094025611877,0.795918345451355,0.761904776096344,0.8434920310974121,1.0037873983383179,0.7099236845970154,0.8857142925262451
20,0.768367350101471,0.8474739789962769,0.9806334972381592,0.001,0.7504761815071106,0.8040816187858582,0.761904776096344,0.850974977016449,0.9705038070678711,0.713178277015686,0.8761904835700989
21,0.7948979735374451,0.8746709823608398,0.9206846952438354,0.001,0.7784200310707092,0.8244897723197937,0.7571428418159485,0.8560997843742371,0.945600688457489,0.7109375,0.8666666746139526
22,0.7897959351539612,0.8765556216239929,0.892339289188385,0.001,0.7795275449752808,0.8081632852554321,0.7571428418159485,0.8526077270507812,0.9249654412269592,0.7109375,0.8666666746139526
23,0.7846938967704773,0.8605664968490601,0.8960378170013428,0.001,0.7708737850189209,0.8102040886878967,0.7666666507720947,0.8629931211471558,0.8926676511764526,0.7222222089767456,0.8666666746139526
24,0.8193877339363098,0.8905268311500549,0.8323991298675537,0.001,0.8074656128883362,0.8387755155563354,0.776190459728241,0.8659863471984863,0.867866575717926,0.7301587462425232,0.8761904835700989
25,0.7979592084884644,0.8746542930603027,0.845862090587616,0.001,0.7955465316772461,0.8020408153533936,0.776190459728241,0.8745578527450562,0.8514909744262695,0.7230769395828247,0.8952381014823914
26,0.8081632852554321,0.8904018998146057,0.7986477613449097,0.001,0.7984189987182617,0.8244897723197937,0.7809523940086365,0.8741949796676636,0.8359743356704712,0.7218044996261597,0.9142857193946838
27,0.8153061270713806,0.8885985016822815,0.7867639660835266,0.001,0.807157039642334,0.8285714387893677,0.761904776096344,0.8764625787734985,0.8276967406272888,0.7007299065589905,0.9142857193946838
28,0.8244897723197937,0.9051831960678101,0.7441253662109375,0.001,0.8093385100364685,0.8489795923233032,0.776190459728241,0.8785487413406372,0.8040538430213928,0.7164179086685181,0.9142857193946838
29,0.8285714387893677,0.9031028747558594,0.7316967844963074,0.001,0.8108108043670654,0.8571428656578064,0.7714285850524902,0.873968243598938,0.7854601144790649,0.7279999852180481,0.8666666746139526
30,0.8081632852554321,0.8955352306365967,0.7321247458457947,0.001,0.7960784435272217,0.8285714387893677,0.761904776096344,0.8835374116897583,0.7706551551818848,0.7067669034004211,0.8952381014823914
31,0.8336734771728516,0.9118263125419617,0.6904063820838928,0.001,0.8199608325958252,0.8551020622253418,0.776190459728241,0.8845351934432983,0.746070921421051,0.7338709831237793,0.8666666746139526
32,0.827551007270813,0.9000312089920044,0.6998116970062256,0.001,0.8165680766105652,0.844897985458374,0.8047618865966797,0.8899319767951965,0.7174250483512878,0.7622950673103333,0.8857142925262451
33,0.8642857074737549,0.9278945922851562,0.6334689259529114,0.001,0.8520709872245789,0.8816326260566711,0.7809523940086365,0.8860771059989929,0.7236577272415161,0.7286821603775024,0.8952381014823914
34,0.8520408272743225,0.919323205947876,0.6398398876190186,0.001,0.8484848737716675,0.8571428656578064,0.7809523940086365,0.8930158615112305,0.7027097344398499,0.7286821603775024,0.8952381014823914
